"","Family","Family_gardenID","Garden","Trait","Environment","value"
"97","BLA_05","BLA_05_Vermont","Vermont","BudSet2019","home",282.203769734059
"98","BLA_05","BLA_05_Vermont","Vermont","BudSet2019","away",229.179150778863
"99","BRA_01","BRA_01_Vermont","Vermont","BudSet2019","home",262.020883691386
"100","BRA_01","BRA_01_Vermont","Vermont","BudSet2019","away",240.246290705328
"101","BRA_02","BRA_02_Vermont","Vermont","BudSet2019","home",270.97906305792
"102","BRA_02","BRA_02_Vermont","Vermont","BudSet2019","away",258.31141624278
"103","BRA_03","BRA_03_Vermont","Vermont","BudSet2019","home",269.036325363973
"104","BRA_03","BRA_03_Vermont","Vermont","BudSet2019","away",244.062221256556
"105","BRA_04","BRA_04_Vermont","Vermont","BudSet2019","home",275.727977420902
"106","BRA_04","BRA_04_Vermont","Vermont","BudSet2019","away",250.788585562252
"107","BRA_05","BRA_05_Vermont","Vermont","BudSet2019","home",276.915206011648
"108","BRA_05","BRA_05_Vermont","Vermont","BudSet2019","away",248.715795099517
"109","BRB_01","BRB_01_Vermont","Vermont","BudSet2019","home",273.137660495639
"110","BRB_01","BRB_01_Vermont","Vermont","BudSet2019","away",242.293863196231
"111","BRB_02","BRB_02_Vermont","Vermont","BudSet2019","home",275.727977420902
"112","BRB_02","BRB_02_Vermont","Vermont","BudSet2019","away",251.304687278802
"113","BRB_03","BRB_03_Vermont","Vermont","BudSet2019","home",261.127048422853
"114","BRB_03","BRB_03_Vermont","Vermont","BudSet2019","away",251.715178180718
"115","BRB_04","BRB_04_Vermont","Vermont","BudSet2019","home",274.216959214499
"116","BRB_04","BRB_04_Vermont","Vermont","BudSet2019","away",245.458293409444
"117","BRU_02","BRU_02_Vermont","Vermont","BudSet2019","home",264.827060360421
"118","BRU_02","BRU_02_Vermont","Vermont","BudSet2019","away",260.083254183823
"119","BRU_03","BRU_03_Vermont","Vermont","BudSet2019","home",282.98834698928
"120","BRU_03","BRU_03_Vermont","Vermont","BudSet2019","away",243.503792395401
"121","BRU_04","BRU_04_Vermont","Vermont","BudSet2019","home",264.503270744763
"122","BRU_04","BRU_04_Vermont","Vermont","BudSet2019","away",239.408647413595
"123","BRU_05","BRU_05_Vermont","Vermont","BudSet2019","home",269.791834467175
"124","BRU_05","BRU_05_Vermont","Vermont","BudSet2019","away",234.01050175576
"125","BRU_06","BRU_06_Vermont","Vermont","BudSet2019","home",262.668462922702
"126","BRU_06","BRU_06_Vermont","Vermont","BudSet2019","away",236.058074246663
"127","B_02","B_02_Vermont","Vermont","BudSet2019","home",249.285158808844
"128","B_02","B_02_Vermont","Vermont","BudSet2019","away",251.228724974716
"129","B_03","B_03_Vermont","Vermont","BudSet2019","home",255.329231634457
"130","B_03","B_03_Vermont","Vermont","BudSet2019","away",232.80057255659
"131","B_04","B_04_Vermont","Vermont","BudSet2019","home",249.177228936958
"132","B_04","B_04_Vermont","Vermont","BudSet2019","away",246.761294085474
"133","B_05","B_05_Vermont","Vermont","BudSet2019","home",255.653021250115
"134","B_05","B_05_Vermont","Vermont","BudSet2019","away",256.440727678833
"135","B_06","B_06_Vermont","Vermont","BudSet2019","home",261.922251120026
"136","B_06","B_06_Vermont","Vermont","BudSet2019","away",247.5360300675
"137","CAM_01","CAM_01_Vermont","Vermont","BudSet2019","home",273.20784245236
"138","CAM_01","CAM_01_Vermont","Vermont","BudSet2019","away",237.211591801054
"139","CAM_02","CAM_02_Vermont","Vermont","BudSet2019","home",271.734572161122
"140","CAM_02","CAM_02_Vermont","Vermont","BudSet2019","away",258.767514600313
"141","CAM_03","CAM_03_Vermont","Vermont","BudSet2019","home",248.8534393213
"142","CAM_03","CAM_03_Vermont","Vermont","BudSet2019","away",244.434507163993
"143","CAM_04","CAM_04_Vermont","Vermont","BudSet2019","home",242.701436623801
"144","CAM_04","CAM_04_Vermont","Vermont","BudSet2019","away",237.361074922692
"145","CAM_05","CAM_05_Vermont","Vermont","BudSet2019","home",259.106777150465
"146","CAM_05","CAM_05_Vermont","Vermont","BudSet2019","away",239.315575936736
"147","CAM_06","CAM_06_Vermont","Vermont","BudSet2019","home",274.540748830157
"148","CAM_06","CAM_06_Vermont","Vermont","BudSet2019","away",236.4303601541
"149","CRA_01","CRA_01_Vermont","Vermont","BudSet2019","home",277.13106575542
"150","CRA_01","CRA_01_Vermont","Vermont","BudSet2019","away",240.339362182187
"151","CRA_02","CRA_02_Vermont","Vermont","BudSet2019","home",262.668462922702
"152","CRA_02","CRA_02_Vermont","Vermont","BudSet2019","away",254.39315518793
"153","CRA_03","CRA_03_Vermont","Vermont","BudSet2019","home",278.857943705595
"154","CRA_03","CRA_03_Vermont","Vermont","BudSet2019","away",248.34350919208
"155","CRA_04","CRA_04_Vermont","Vermont","BudSet2019","home",263.208112282132
"156","CRA_04","CRA_04_Vermont","Vermont","BudSet2019","away",241.726991722124
"157","CRA_05","CRA_05_Vermont","Vermont","BudSet2019","home",269.360114979631
"158","CRA_05","CRA_05_Vermont","Vermont","BudSet2019","away",244.155292733415
"159","CRA_06","CRA_06_Vermont","Vermont","BudSet2019","home",277.238995627305
"160","CRA_06","CRA_06_Vermont","Vermont","BudSet2019","away",236.760643892219
"161","CRR_01","CRR_01_Vermont","Vermont","BudSet2019","home",264.503270744763
"162","CRR_01","CRR_01_Vermont","Vermont","BudSet2019","away",241.549291381357
"163","CRR_02","CRR_02_Vermont","Vermont","BudSet2019","home",269.468044851517
"164","CRR_02","CRR_02_Vermont","Vermont","BudSet2019","away",235.406573908648
"165","CR_03","CR_03_Vermont","Vermont","BudSet2019","home",280.368961911998
"166","CR_03","CR_03_Vermont","Vermont","BudSet2019","away",254.207012234211
"167","CR_04","CR_04_Vermont","Vermont","BudSet2019","home",272.866067321424
"168","CR_04","CR_04_Vermont","Vermont","BudSet2019","away",251.704027733266
"169","CR_05","CR_05_Vermont","Vermont","BudSet2019","home",275.528217043848
"170","CR_05","CR_05_Vermont","Vermont","BudSet2019","away",251.043724156452
"171","CR_06","CR_06_Vermont","Vermont","BudSet2019","home",269.67965574036
"172","CR_06","CR_06_Vermont","Vermont","BudSet2019","away",242.852292057386
"173","CR_07","CR_07_Vermont","Vermont","BudSet2019","home",274.035227421825
"174","CR_07","CR_07_Vermont","Vermont","BudSet2019","away",251.601010882153
"175","DG_04","DG_04_Vermont","Vermont","BudSet2019","home",267.860390498261
"176","DG_04","DG_04_Vermont","Vermont","BudSet2019","away",251.743561812133
"177","DG_05","DG_05_Vermont","Vermont","BudSet2019","home",270.331483826604
"178","DG_05","DG_05_Vermont","Vermont","BudSet2019","away",255.335357203893
"179","DG_06","DG_06_Vermont","Vermont","BudSet2019","home",276.159696908446
"180","DG_06","DG_06_Vermont","Vermont","BudSet2019","away",249.64650986811
"181","DG_08","DG_08_Vermont","Vermont","BudSet2019","home",273.20784245236
"182","DG_08","DG_08_Vermont","Vermont","BudSet2019","away",249.196807328765
"183","DG_10","DG_10_Vermont","Vermont","BudSet2019","home",277.783417374829
"184","DG_10","DG_10_Vermont","Vermont","BudSet2019","away",252.001844848595
"185","EQU_01","EQU_01_Vermont","Vermont","BudSet2019","home",265.072803532825
"186","EQU_01","EQU_01_Vermont","Vermont","BudSet2019","away",238.620441522918
"187","EQU_02","EQU_02_Vermont","Vermont","BudSet2019","home",268.928395492087
"188","EQU_02","EQU_02_Vermont","Vermont","BudSet2019","away",249.367295437532
"189","EQU_03","EQU_03_Vermont","Vermont","BudSet2019","home",268.604605876429
"190","EQU_03","EQU_03_Vermont","Vermont","BudSet2019","away",237.416837252012
"191","EQU_04","EQU_04_Vermont","Vermont","BudSet2019","home",258.45919791915
"192","EQU_04","EQU_04_Vermont","Vermont","BudSet2019","away",238.291789691284
"193","EQU_05","EQU_05_Vermont","Vermont","BudSet2019","home",246.915994066401
"194","EQU_05","EQU_05_Vermont","Vermont","BudSet2019","away",232.428286649153
"195","EQU_06","EQU_06_Vermont","Vermont","BudSet2019","home",256.408530353317
"196","EQU_06","EQU_06_Vermont","Vermont","BudSet2019","away",236.362741562383
"197","ESC_01","ESC_01_Vermont","Vermont","BudSet2019","home",265.474639591737
"198","ESC_01","ESC_01_Vermont","Vermont","BudSet2019","away",245.737507840022
"199","ESC_02","ESC_02_Vermont","Vermont","BudSet2019","home",274.324889086385
"200","ESC_02","ESC_02_Vermont","Vermont","BudSet2019","away",251.414867928435
"201","ESC_03","ESC_03_Vermont","Vermont","BudSet2019","home",264.859663396219
"202","ESC_03","ESC_03_Vermont","Vermont","BudSet2019","away",247.035505012185
"203","ESC_04","ESC_04_Vermont","Vermont","BudSet2019","home",274.001099470727
"204","ESC_04","ESC_04_Vermont","Vermont","BudSet2019","away",256.299418740122
"205","ESC_05","ESC_05_Vermont","Vermont","BudSet2019","home",270.788080407102
"206","ESC_05","ESC_05_Vermont","Vermont","BudSet2019","away",235.313502431789
"207","ESC_06","ESC_06_Vermont","Vermont","BudSet2019","home",268.712535748315
"208","ESC_06","ESC_06_Vermont","Vermont","BudSet2019","away",253.648583373056
"209","G13_01","G13_01_Vermont","Vermont","BudSet2019","home",279.073803449367
"210","G13_01","G13_01_Vermont","Vermont","BudSet2019","away",250.011564051072
"211","G13_02","G13_02_Vermont","Vermont","BudSet2019","home",275.835907292788
"212","G13_02","G13_02_Vermont","Vermont","BudSet2019","away",240.525505135906
"213","G13_03","G13_03_Vermont","Vermont","BudSet2019","home",281.1244710152
"214","G13_03","G13_03_Vermont","Vermont","BudSet2019","away",256.719942109411
"215","G13_04","G13_04_Vermont","Vermont","BudSet2019","home",279.073803449367
"216","G13_04","G13_04_Vermont","Vermont","BudSet2019","away",241.456219904498
"217","G13_05","G13_05_Vermont","Vermont","BudSet2019","home",275.748592599881
"218","G13_05","G13_05_Vermont","Vermont","BudSet2019","away",245.073084656007
"219","G18_01","G18_01_Vermont","Vermont","BudSet2019","home",257.595758944062
"220","G18_01","G18_01_Vermont","Vermont","BudSet2019","away",245.894066459838
"221","G18_02","G18_02_Vermont","Vermont","BudSet2019","home",278.534154089937
"222","G18_02","G18_02_Vermont","Vermont","BudSet2019","away",259.524350126803
"223","G18_03","G18_03_Vermont","Vermont","BudSet2019","home",260.749790471477
"224","G18_03","G18_03_Vermont","Vermont","BudSet2019","away",252.194509720967
"225","G57_01","G57_01_Vermont","Vermont","BudSet2019","home",267.849096773228
"226","G57_01","G57_01_Vermont","Vermont","BudSet2019","away",238.571004121862
"227","G57_02","G57_02_Vermont","Vermont","BudSet2019","home",278.426224218051
"228","G57_02","G57_02_Vermont","Vermont","BudSet2019","away",252.531725650745
"229","G57_03","G57_03_Vermont","Vermont","BudSet2019","home",278.318294346165
"230","G57_03","G57_03_Vermont","Vermont","BudSet2019","away",252.345582697027
"231","G57_04","G57_04_Vermont","Vermont","BudSet2019","home",268.152637890334
"232","G57_04","G57_04_Vermont","Vermont","BudSet2019","away",232.056000741716
"233","G57_05","G57_05_Vermont","Vermont","BudSet2019","home",275.727977420902
"234","G57_05","G57_05_Vermont","Vermont","BudSet2019","away",252.159439743309
"235","G57_06","G57_06_Vermont","Vermont","BudSet2019","home",267.021119479975
"236","G57_06","G57_06_Vermont","Vermont","BudSet2019","away",235.313502431789
"237","G57_07","G57_07_Vermont","Vermont","BudSet2019","home",279.937242424454
"238","G57_07","G57_07_Vermont","Vermont","BudSet2019","away",250.856439067279
"239","G57_08","G57_08_Vermont","Vermont","BudSet2019","home",270.647560558463
"240","G57_08","G57_08_Vermont","Vermont","BudSet2019","away",258.351873249699
"241","G57_09","G57_09_Vermont","Vermont","BudSet2019","home",279.033287557764
"242","G57_09","G57_09_Vermont","Vermont","BudSet2019","away",242.342728074997
"243","G57_10","G57_10_Vermont","Vermont","BudSet2019","home",271.734572161122
"244","G57_10","G57_10_Vermont","Vermont","BudSet2019","away",234.941216524352
"245","G57_11","G57_11_Vermont","Vermont","BudSet2019","home",272.921800751867
"246","G57_11","G57_11_Vermont","Vermont","BudSet2019","away",240.525505135906
"247","GFM_48","GFM_48_Maryland","Maryland","BudSet2019","home",261.990145827012
"248","GFM_48","GFM_48_Maryland","Maryland","BudSet2019","away",249.498450423677
"249","GFM_49","GFM_49_Maryland","Maryland","BudSet2019","home",261.013230582626
"250","GFM_49","GFM_49_Maryland","Maryland","BudSet2019","away",261.280444475513
"251","GFM_50","GFM_50_Maryland","Maryland","BudSet2019","home",261.313819888591
"252","GFM_50","GFM_50_Maryland","Maryland","BudSet2019","away",252.854815205607
"253","GFM_51","GFM_51_Maryland","Maryland","BudSet2019","home",256.749046513707
"254","GFM_51","GFM_51_Maryland","Maryland","BudSet2019","away",247.13357999291
"255","GFM_55","GFM_55_Maryland","Maryland","BudSet2019","home",256.760609947795
"256","GFM_55","GFM_55_Maryland","Maryland","BudSet2019","away",233.943772046458
"257","GPA_01","GPA_01_Vermont","Vermont","BudSet2019","home",269.074715229045
"258","GPA_01","GPA_01_Vermont","Vermont","BudSet2019","away",252.297132446446
"259","GPA_02","GPA_02_Vermont","Vermont","BudSet2019","home",259.538496638009
"260","GPA_02","GPA_02_Vermont","Vermont","BudSet2019","away",251.321796451576
"261","GPA_03","GPA_03_Vermont","Vermont","BudSet2019","home",272.274221520552
"262","GPA_03","GPA_03_Vermont","Vermont","BudSet2019","away",242.759220580527
"263","GPA_04","GPA_04_Vermont","Vermont","BudSet2019","home",275.404187805244
"264","GPA_04","GPA_04_Vermont","Vermont","BudSet2019","away",255.137727002804
"265","GRE_01","GRE_01_Vermont","Vermont","BudSet2019","home",272.274221520552
"266","GRE_01","GRE_01_Vermont","Vermont","BudSet2019","away",243.689935349119
"267","GRE_03","GRE_03_Vermont","Vermont","BudSet2019","home",279.50552293691
"268","GRE_03","GRE_03_Vermont","Vermont","BudSet2019","away",257.092228016847
"269","GRE_04","GRE_04_Vermont","Vermont","BudSet2019","home",257.116424851393
"270","GRE_04","GRE_04_Vermont","Vermont","BudSet2019","away",237.919503783847
"271","GRE_05","GRE_05_Vermont","Vermont","BudSet2019","home",264.611200616649
"272","GRE_05","GRE_05_Vermont","Vermont","BudSet2019","away",252.904011558182
"273","GRE_06","GRE_06_Vermont","Vermont","BudSet2019","home",257.164039456518
"274","GRE_06","GRE_06_Vermont","Vermont","BudSet2019","away",247.505865900347
"275","GRE_07","GRE_07_Vermont","Vermont","BudSet2019","home",272.166291648666
"276","GRE_07","GRE_07_Vermont","Vermont","BudSet2019","away",247.722736696734
"277","HR_01","HR_01_Vermont","Vermont","BudSet2019","home",276.159696908446
"278","HR_01","HR_01_Vermont","Vermont","BudSet2019","away",247.268618897982
"279","HR_02","HR_02_Vermont","Vermont","BudSet2019","home",272.382151392438
"280","HR_02","HR_02_Vermont","Vermont","BudSet2019","away",256.999156539988
"281","HR_03","HR_03_Vermont","Vermont","BudSet2019","home",262.020883691386
"282","HR_03","HR_03_Vermont","Vermont","BudSet2019","away",241.921577288794
"283","HR_05","HR_05_Vermont","Vermont","BudSet2019","home",278.102434602393
"284","HR_05","HR_05_Vermont","Vermont","BudSet2019","away",255.848470831288
"285","HR_06","HR_06_Vermont","Vermont","BudSet2019","home",264.395340872877
"286","HR_06","HR_06_Vermont","Vermont","BudSet2019","away",251.704608236069
"287","HR_07","HR_07_Vermont","Vermont","BudSet2019","home",278.426224218051
"288","HR_07","HR_07_Vermont","Vermont","BudSet2019","away",254.448631905248
"289","HR_10","HR_10_Vermont","Vermont","BudSet2019","home",274.216959214499
"290","HR_10","HR_10_Vermont","Vermont","BudSet2019","away",260.163586753202
"291","HUN_01","HUN_01_Vermont","Vermont","BudSet2019","home",266.171000774735
"292","HUN_01","HUN_01_Vermont","Vermont","BudSet2019","away",238.291789691284
"293","HUN_02","HUN_02_Vermont","Vermont","BudSet2019","home",264.719130488535
"294","HUN_02","HUN_02_Vermont","Vermont","BudSet2019","away",262.118087767246
"295","HUN_03","HUN_03_Vermont","Vermont","BudSet2019","home",273.588822955933
"296","HUN_03","HUN_03_Vermont","Vermont","BudSet2019","away",252.698567221669
"297","HUN_04","HUN_04_Vermont","Vermont","BudSet2019","home",269.687325639036
"298","HUN_04","HUN_04_Vermont","Vermont","BudSet2019","away",248.529652145799
"299","HUN_05","HUN_05_Vermont","Vermont","BudSet2019","home",266.014288951166
"300","HUN_05","HUN_05_Vermont","Vermont","BudSet2019","away",243.317649441682
"301","HUN_06","HUN_06_Vermont","Vermont","BudSet2019","home",280.153102168226
"302","HUN_06","HUN_06_Vermont","Vermont","BudSet2019","away",253.385525419795
"303","HUN_07","HUN_07_Vermont","Vermont","BudSet2019","home",277.023135883534
"304","HUN_07","HUN_07_Vermont","Vermont","BudSet2019","away",248.39746887825
"305","IND_01","IND_01_Vermont","Vermont","BudSet2019","home",278.102434602393
"306","IND_01","IND_01_Vermont","Vermont","BudSet2019","away",260.44280118378
"307","IND_02","IND_02_Vermont","Vermont","BudSet2019","home",275.727977420902
"308","IND_02","IND_02_Vermont","Vermont","BudSet2019","away",253.264363872592
"309","IND_03","IND_03_Vermont","Vermont","BudSet2019","home",260.725725228755
"310","IND_03","IND_03_Vermont","Vermont","BudSet2019","away",234.941216524352
"311","IND_04","IND_04_Vermont","Vermont","BudSet2019","home",264.393727183952
"312","IND_04","IND_04_Vermont","Vermont","BudSet2019","away",247.978238886734
"313","IND_05","IND_05_Vermont","Vermont","BudSet2019","home",283.175138581033
"314","IND_05","IND_05_Vermont","Vermont","BudSet2019","away",252.997083035042
"315","IND_06","IND_06_Vermont","Vermont","BudSet2019","home",265.690499335509
"316","IND_06","IND_06_Vermont","Vermont","BudSet2019","away",246.407180087232
"317","JAY_01","JAY_01_Vermont","Vermont","BudSet2019","home",241.730067776827
"318","JAY_01","JAY_01_Vermont","Vermont","BudSet2019","away",243.410720918542
"319","JAY_02","JAY_02_Vermont","Vermont","BudSet2019","home",264.071551257219
"320","JAY_02","JAY_02_Vermont","Vermont","BudSet2019","away",251.694082359012
"321","JAY_03","JAY_03_Vermont","Vermont","BudSet2019","home",246.586912011695
"322","JAY_03","JAY_03_Vermont","Vermont","BudSet2019","away",242.852292057386
"323","KAN_02","KAN_02_Vermont","Vermont","BudSet2019","home",249.716878296388
"324","KAN_02","KAN_02_Vermont","Vermont","BudSet2019","away",224.796425546697
"325","KAN_03","KAN_03_Vermont","Vermont","BudSet2019","home",264.287411000991
"326","KAN_03","KAN_03_Vermont","Vermont","BudSet2019","away",246.668222608614
"327","KAN_04","KAN_04_Vermont","Vermont","BudSet2019","home",265.798429207394
"328","KAN_04","KAN_04_Vermont","Vermont","BudSet2019","away",238.012575260706
"329","KAN_05","KAN_05_Vermont","Vermont","BudSet2019","home",269.649891769419
"330","KAN_05","KAN_05_Vermont","Vermont","BudSet2019","away",233.452072894604
"331","KAN_06","KAN_06_Vermont","Vermont","BudSet2019","home",246.910701627353
"332","KAN_06","KAN_06_Vermont","Vermont","BudSet2019","away",241.549291381357
"333","KIL_01","KIL_01_Vermont","Vermont","BudSet2019","home",263.322014414268
"334","KIL_01","KIL_01_Vermont","Vermont","BudSet2019","away",226.8439980376
"335","KIL_02","KIL_02_Vermont","Vermont","BudSet2019","home",248.963498412785
"336","KIL_02","KIL_02_Vermont","Vermont","BudSet2019","away",232.614429602871
"337","KIL_03","KIL_03_Vermont","Vermont","BudSet2019","home",244.752104189634
"338","KIL_03","KIL_03_Vermont","Vermont","BudSet2019","away",244.155292733415
"339","KIL_04","KIL_04_Vermont","Vermont","BudSet2019","home",271.585701405626
"340","KIL_04","KIL_04_Vermont","Vermont","BudSet2019","away",231.497571880561
"341","KIL_05","KIL_05_Vermont","Vermont","BudSet2019","home",261.049514844413
"342","KIL_05","KIL_05_Vermont","Vermont","BudSet2019","away",234.85126911504
"343","KIL_06","KIL_06_Vermont","Vermont","BudSet2019","home",255.113371890685
"344","KIL_06","KIL_06_Vermont","Vermont","BudSet2019","away",240.990862520202
"345","KOS_01","KOS_01_Vermont","Vermont","BudSet2019","home",265.042920104193
"346","KOS_01","KOS_01_Vermont","Vermont","BudSet2019","away",243.131506487964
